loop-location,ICC-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/add.c(45),1,84,0.119,1,0.04444,0,0,0,0,0,0,0,0,0,20,10,10
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/add.c(46),0,72,0.1389,1,0.05714,0,0,0,0,0,0,0,0,0,20,10,10
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/add.c(47),0,60,0.1667,1,0.08,0,0,0,0,0,0,0,0,0,20,10,10
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/add.c(48),1,48,0.8125,1,0.4078,0.02913,0,0.07895,0.07895,0,34,0,34,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(218),0,91,0.8242,1,0.2651,0.01606,0,0.1049,0.08392,0,69,13,56,0,74,36,38
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(212),0,14,0.4286,0,0.2581,0.06452,0,0,0,0,3,0,3,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(180),0,20,0.25,0,0.1818,0.02273,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(175),0,10,0.3,0,0.1905,0.04762,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(161),0,10,0.3,0,0.1905,0.04762,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(133),0,5,0.2,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/bt.c(131),0,5,0.2,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(66),1,46,0.4348,2,0.2113,0.02817,0,0.0625,0.0625,0,6,0,6,0,26,12,14
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(67),0,25,0.72,1,0.3455,0.01818,0,0.1579,0.1579,0,10,0,10,0,9,2,7
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(50),0,97,0.03093,1,0.03361,0.01681,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(52),0,80,0.0375,1,0.04124,0.02062,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(54),0,63,0.3016,2,0.1667,0.02381,0,0.0625,0.0625,0,6,0,6,0,26,13,13
