loop-location,ICC-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(58),0,41,0.7561,1,0.3571,0.04082,0,0.1081,0.1081,0,19,0,19,0,18,5,13
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(46),1,13,0.4615,0,0.2593,0.03704,0,0,0,0,3,0,3,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(95),1,46,0.4348,2,0.2113,0.02817,0,0.0625,0.0625,0,6,0,6,0,26,12,14
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(96),0,25,0.72,1,0.3455,0.01818,0,0.1579,0.1579,0,10,0,10,0,9,2,7
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(84),0,72,0.1111,1,0.04878,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(85),0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(86),0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(87),0,36,0.75,1,0.3571,0.03571,0,0.09677,0.09677,0,17,0,17,0,14,4,10
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/error.c(80),1,13,0.4615,0,0.2593,0.03704,0,0,0,0,3,0,3,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(346),1,71,0.1268,1,0.05263,0,0,0,0,0,0,0,0,0,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(347),0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(348),0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(349),1,35,0.7714,1,0.3867,0.02667,0,0.07692,0.07692,0,22,0,22,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(250),0,1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(252),0,1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(255),0,156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(275),1,517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(312),1,132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(322),1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(330),1,136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(259),1,19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(265),1,21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(323),1,83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(155),0,1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(157),0,1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(160),0,156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(180),1,517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(217),1,132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(227),1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(235),1,136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(164),1,19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(170),1,21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(228),1,83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(60),0,1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(62),0,1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(65),0,156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(85),1,517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(122),1,132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(132),1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(140),1,136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(69),1,19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(75),1,21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(133),1,83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(47),1,57,0.1404,1,0.06667,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(48),0,45,0.1778,1,0.08333,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(49),0,33,0.2424,1,0.1111,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_rhs.c(50),0,21,0.6667,0,0.3488,0.02326,0,0,0,0,11,0,11,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/exact_solution.c(43),0,114,0.8246,1,0.3843,0.04982,0,0.2222,0.2222,0,54,0,54,0,63,13,50
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(185),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(187),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(190),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(169),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(171),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(174),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(153),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(155),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(158),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(137),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(139),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(142),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(121),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(123),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(126),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(105),0,64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(107),0,47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(110),1,25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(64),0,212,0.08019,2,0.04523,0.005025,0,0.03704,0.03704,0,3,0,3,0,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(66),0,195,0.08718,2,0.05143,0.005714,0,0.03704,0.03704,0,3,0,3,0,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(68),0,178,0.2416,5,0.09554,0.006369,0,0.01053,0.01053,0,3,0,3,0,92,46,46
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(71),0,18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(75),0,18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(79),0,18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(83),1,101,0.8713,3,0.4025,0.02966,0,0.1415,0.1415,0,82,0,82,0,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(51),1,57,0.1404,1,0.06667,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(52),0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(53),0,33,0.2424,1,0.1111,0,0,0,0,0,0,0,0,0,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(54),0,21,0.6667,0,0.3488,0.02326,0,0,0,0,11,0,11,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(220),0,30,0.6667,0,0.3636,0.06061,0,0,0,0,16,0,16,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(206),0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/initialize.c(207),0,74,0.8378,0,0.4416,0.03896,0,0,0,0,54,0,54,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(409),1,72,0.125,1,0.05263,0,0,0,0,0,0,0,0,0,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(410),0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(411),0,48,0.1875,1,0.09091,0,0,0,0,0,0,0,0,0,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(412),1,36,0.7778,1,0.3896,0.02597,0,0.1111,0.1111,0,23,0,23,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(398),0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(399),0,94,0.1277,1,0.06452,0,0,0,0,0,0,0,0,0,28,14,14
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(400),1,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(387),1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(388),0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(389),1,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(373),1,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(374),0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(375),0,125,0.112,1,0.05405,0,0,0,0,0,0,0,0,0,36,18,18
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(376),1,113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(363),0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(364),0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(365),1,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(352),1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(353),0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(354),1,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(296),1,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(297),0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(298),0,816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(190),1,1403,0.0727,1,0.001958,0.0003917,0,0.001357,0.001357,0,2,0,2,0,1472,736,736
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(191),0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(244),0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(253),0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(261),0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(273),0,110,0.1182,1,0.05882,0,0,0,0,0,0,0,0,0,32,16,16
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(282),0,94,0.1277,1,0.06452,0,0,0,0,0,0,0,0,0,28,14,14
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(192),1,816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(245),1,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(254),1,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(262),0,125,0.112,1,0.05405,0,0,0,0,0,0,0,0,0,36,18,18
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(274),1,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(283),1,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(263),1,113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(83),1,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(84),0,828,0.07971,1,0.008547,0,0,0,0,0,0,0,0,0,244,122,122
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(141),0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(157),0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(168),0,200,0.075,1,0.02632,0.008772,0,0.04348,0.04348,0,2,0,2,0,44,22,22
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(85),1,816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(143),0,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(150),0,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(158),0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(170),0,98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(177),0,82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(159),1,113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(69),1,70,0.1286,1,0.05405,0,0,0,0,0,0,0,0,0,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(70),0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(71),0,46,0.1957,1,0.09524,0,0,0,0,0,0,0,0,0,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(72),0,34,0.7647,0,0.3944,0.02817,0,0,0,0,23,0,23,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(47),1,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(48),0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/rhs.c(49),1,209,0.8804,2,0.4379,0.03704,0,0.0582,0.0582,0,175,0,175,0,14,7,7
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/verify.c(322),0,63,0.2857,0,0.1867,0.06667,0,0,0,0,9,0,9,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/verify.c(303),0,63,0.2857,0,0.1867,0.06667,0,0,0,0,9,0,9,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/verify.c(277),1,46,0.6957,0,0.3774,0.07547,0,0,0,0,28,0,28,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/verify.c(67),0,16,0.5,0,0.2941,0.05882,0,0,0,0,4,0,4,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/verify.c(60),1,18,0.5556,1,0.2927,0.04878,0,0.3333,0.3333,0,5,0,5,0,4,1,3
/home/s1736883/Work/PParMetrics/benchmarks/nauseous/BT/src/x_solve.c(70),0,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
