loop-location,icc,omp,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,payload-cross-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number,critical-payload-cross-dependencies-number,iterator-mem-write-count,iterator-mem-write-fraction,iterator-call-count,iterator-call-fraction,payload-mem-write-count,payload-mem-write-fraction,payload-call-count,payload-call-fraction,critical-payload-mem-write-count,critical-payload-mem-write-fraction,critical-payload-call-count,critical-payload-call-fraction
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/add.c(47),1,1,1,61,0.04918,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01724,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/add.c(48),1,,1,52,0.05769,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02041,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/add.c(49),1,,1,43,0.06977,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/add.c(50),1,,1,34,0.8824,1,0.1,0.4648,0.04225,0,0.1,0.1,0,30,28,1,1,0,5,3,1,1,0,0,0,0,0,1,0.03333,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(225),0,,0,65,0.9385,0,0,0.1746,0.04762,0,0,0,0,96,51,0,0,0,0,0,0,0,0,0,0,0,0,5,0.08197,5,0.08197,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(219),0,,0,10,0.6,0,0,0.4211,0.1053,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3333,1,0.1667,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(187),0,,0,15,0.6667,0,0,0.3214,0.1071,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,2,0.2,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(182),0,,0,7,0.4286,0,0,0.3333,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,1,0.3333,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(168),0,,0,7,0.4286,0,0,0.3333,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,1,0.3333,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(139),0,,0,4,0.25,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,1,0.3333,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(137),0,,0,4,0.25,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,1,0.3333,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(80),1,,1,32,0.4062,1,0.4615,0.2927,0.04878,0,0.09524,0.09524,0,21,10,4,3,0,17,6,4,3,0,0,0,0,0,3,0.2308,1,0.07692,3,0.5,1,0.1667
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(81),1,,1,18,0.7778,1,0.4286,0.3846,0.02564,0,0.1875,0.1875,0,16,12,1,1,0,10,6,1,1,0,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(74),1,,1,14,0.7143,1,0.3,0.4,0.06667,0,0.3,0.3,0,10,9,1,0,0,4,3,1,0,0,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(59),0,1,1,65,0.09231,0,0,0.2917,0.04167,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0.0339,1,0.01695,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(61),0,,0,53,0.1132,0,0,0.2917,0.04167,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0.04255,1,0.02128,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(63),0,,0,41,0.1951,0,0,0.3214,0.03571,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0.0303,0,0,1,0.125,1,0.125,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(67),1,,1,27,0.8519,1,0.1304,0.4576,0.0678,0,0.125,0.125,0,24,22,1,1,0,5,3,1,1,0,0,0,0,0,1,0.04348,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(55),1,,1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(48),1,,1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(122),1,,1,32,0.4062,1,0.4615,0.2927,0.04878,0,0.09524,0.09524,0,21,10,4,3,0,17,6,4,3,0,0,0,0,0,3,0.2308,1,0.07692,3,0.5,1,0.1667
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(123),1,,1,18,0.7778,1,0.4286,0.3846,0.02564,0,0.1875,0.1875,0,16,12,1,1,0,10,6,1,1,0,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(116),1,,1,14,0.7143,1,0.3,0.4,0.06667,0,0.3,0.3,0,10,9,1,0,0,4,3,1,0,0,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(106),0,1,1,50,0.06,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02128,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(107),0,,0,41,0.07317,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02632,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(108),0,,0,32,0.09375,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03448,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(109),1,,1,23,0.8261,1,0.1579,0.44,0.06,0,0.15,0.15,0,20,18,1,1,0,5,3,1,1,0,0,0,0,0,1,0.05263,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(102),1,,1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(95),1,,1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(355),1,1,1,52,0.05769,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02041,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(356),1,,1,43,0.06977,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(357),1,,1,34,0.08824,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03226,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(358),1,,1,25,0.84,1,0.1429,0.4423,0.03846,0,0.09524,0.09524,0,21,19,1,1,0,5,3,1,1,0,0,0,0,0,1,0.04762,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(258),0,1,1,843,0.007117,0,0,0.01496,0.002137,0,0,0,0,2,2,0,0,0,0,0,0,0,0,16,0.01912,1,0.001195,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(260),0,,0,831,0.01203,0,0,0.02331,0.002119,0,0,0,0,2,2,0,0,0,0,0,0,0,0,16,0.01949,1,0.001218,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(263),0,,0,119,0.7227,2,0.2558,0.457,0.07692,0,0.1944,0.1944,0,108,88,13,7,2,44,25,13,6,2,0,0,0,0,6,0.06977,1,0.01163,4,0.1818,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(283),1,,1,424,0.9858,5,0.0622,0.4778,0.02492,0,0.05532,0.05532,0,470,460,5,5,0,36,26,5,5,0,0,0,0,0,5,0.01196,0,0,5,0.1923,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(320),1,,1,98,0.9592,1,0.06383,0.4884,0.05116,0,0.05882,0.05882,0,102,94,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02128,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(330),1,,1,72,0.04167,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01449,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(338),1,,1,102,0.9608,1,0.06122,0.4698,0.04741,0,0.05217,0.05217,0,115,107,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(267),1,,1,14,0.7143,0,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(273),1,,1,15,0.7333,0,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(331),1,,1,63,0.9365,1,0.05085,0.4962,0.05263,0,0.05085,0.05085,0,59,57,1,1,0,5,3,1,1,0,0,0,0,0,1,0.01695,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(162),0,1,1,843,0.007117,0,0,0.01496,0.002137,0,0,0,0,2,2,0,0,0,0,0,0,0,0,16,0.01912,1,0.001195,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(164),0,,0,831,0.01203,0,0,0.02331,0.002119,0,0,0,0,2,2,0,0,0,0,0,0,0,0,16,0.01949,1,0.001218,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(167),0,,0,119,0.7227,2,0.2558,0.457,0.07692,0,0.1944,0.1944,0,108,88,13,7,2,44,25,13,6,2,0,0,0,0,6,0.06977,1,0.01163,4,0.1818,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(187),1,,1,424,0.9858,5,0.0622,0.4778,0.02492,0,0.05532,0.05532,0,470,460,5,5,0,36,26,5,5,0,0,0,0,0,5,0.01196,0,0,5,0.1923,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(224),1,,1,98,0.9592,1,0.06383,0.4884,0.05116,0,0.05882,0.05882,0,102,94,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02128,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(234),1,,1,72,0.04167,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01449,0,0,0,0,0,0,0,0,0,0
